call_number,New,add,recordid,record,JSON,Linked Data,lib,lib,lib-ua-collection,lib-manuscript,oac-archives,oac-collections
AR-081,todo,T,alma990022108200403126,record,JSON,LD,,,,,ark:/13030/c8474hbc/,
AR-082,TEST,T,alma990022108180403126,record,JSON,LD,T,,ark:/13030/c8gt5pmc/,,ark:/13030/c8gt5pmc/,
AR-083,TEST,T,alma990022104190403126,record,JSON,LD,T,,ark:/13030/c8jw8gdn/,,ark:/13030/c8jw8gdn/,
AR-086,todo,T,alma990021807790403126,record,JSON,LD,,,,,ark:/13030/c8sq95vk/,
AR-087,todo,T,alma990021807820403126,record,JSON,LD,,,,,ark:/13030/c8nz8f3t/,
AR-089,todo,T,alma990021807830403126,record,JSON,LD,,,,,ark:/13030/c8j67pdv/,
AR-090,todo,T,alma990021807850403126,record,JSON,LD,,,,,ark:/13030/c8qn6d8d/,
AR-091,skip,,alma990021807860403126,record,JSON,LD,,,,,ark:/13030/c8bc451f/,
AR-092,todo,T,,,,,,,,,ark:/13030/c86q23q1/,
AR-093,todo,T,alma9981135860003126,record,JSON,LD,,,,,ark:/13030/c89029xw/,
AR-094,TEST,T,9981135860003126,record,JSON,LD,T,,,,ark:/13030/c8n87h6q/,
AR-095,skip,,,,,,T,,ark:/13030/c8tt4x72/,,ark:/13030/c8tt4x72/,
AR-096,todo,T,,,,,,,,,ark:/13030/c8086bd2/,
AR-097,todo,T,alma9981392647503126,record,JSON,LD,,,,,ark:/13030/c84m9brc/,
AR-098,todo,T,alma990021807890403126,record,JSON,LD,,,,,ark:/13030/c8z60vjs/,
AR-099,TEST,T,alma990029578430403126,record,JSON,LD,T,,,,ark:/13030/c89s1xg2/,
AR-100,skip,,alma990022042590403126,record,JSON,LD,,,,,ark:/13030/c8057nfk/,
AR-101,skip,,alma990022043160403126,record,JSON,LD,,,,,ark:/13030/c8qr53n8/,
AR-102,todo,T,alma9981383649403126,record,JSON,LD,,,,,ark:/13030/c8057p22/,
AR-103,todo,T,alma9981392647403126,record,JSON,LD,,,,,ark:/13030/c80v8kzr/,
AR-104,todo,T,alma9981401560503126,record,JSON,LD,,,,,ark:/13030/c8862pnm/,
AR-105,todo,T,alma9981401560403126,record,JSON,LD,,,,,ark:/13030/c84j0n8q/,
AR-106,todo,T,alma990022043710403126,record,JSON,LD,,,,,ark:/13030/c8m04bz9/,
AR-107,todo,T,alma990022044340403126,record,JSON,LD,,,,,ark:/13030/c84173wn/,
AR-108,todo,T,9981189555603126,record,JSON,LD,T,,,,,
AR-109,todo,T,,,,,,,,,ark:/13030/c8nc66x2/,
AR-110,TEST,T,alma9981051937803126,record,JSON,LD,T,,ark:/13030/c8js9wh9/,,ark:/13030/c8js9wh9/,
AR-111,TEST,T,alma990035575700403126,record,JSON,LD,T,,ark:/13030/c8b27vvh/,,ark:/13030/c8b27vvh/,
AR-112,todo,T,90026912640403126,record,JSON,LD,,,,,ark:/13030/c86q23rg/,
AR-113,TEST,T,,,,,T,,,,ark:/13030/c89p3741/,
AR-115,todo,T,alma990022044690403126,record,JSON,LD,,,,,ark:/13030/c8z89jx3/,
AR-117,todo,T,alma9981383856903126,record,JSON,LD,,,,,ark:/13030/c8wh2x4g/,
AR-118,todo,T,alma9981107751603126,record,JSON,LD,,,,,ark:/13030/c8qv3tcn/,
AR-119,todo,T,alma9981383856703126,record,JSON,LD,,,,,ark:/13030/c8rr25cp/,
AR-120,TEST,T,alma990023260730403126,record,JSON,LD,T,,,,ark:/13030/c89g5t8j/,
AR-121,TEST,T,alma990023260740403126,record,JSON,LD,T,,,,ark:/13030/c8f47vm0/,
AR-122,TEST,T,alma990024078610403126,record,JSON,LD,,,,,ark:/13030/c8z89dzw/,
AR-123,TEST,T,alma990029578240403126,record,JSON,LD,T,,,,ark:/13030/c84m9b1z/,
AR-124,TEST,T,alma9981070950903126,record,JSON,LD,T,,ark:/13030/c8gx4hs6/,,ark:/13030/c8gx4hs6/,
AR-125,todo,T,990025080700403126,record,JSON,LD,,,,,ark:/13030/c85m6c77/,
AR-127,TEST,T,90027789240403126,record,JSON,LD,T,,ark:/13030/c8988cgx/,,ark:/13030/c8988cgx/,
AR-128,todo,T,,,,,,,,,ark:/13030/c8x353zm/,
AR-129,TEST,T,alma990027872930403126,record,JSON,LD,T,,ark:/13030/c80g3mv4/,,ark:/13030/c80g3mv4/,
AR-130,todo,T,alma990029729390403126,record,JSON,LD,,,,,ark:/13030/c8mp58sh/,
AR-131,TEST,T,alma990030000750403126,record,JSON,LD,T,,,,ark:/13030/c8d2243p/,
AR-132,TEST,T,990029853670403126,record,JSON,LD,T,,ark:/13030/c8668fwh/,,ark:/13030/c8668fwh/,
AR-133,TEST,T,,,,,T,,ark:/13030/c8tx3gvd/,,ark:/13030/c8tx3gvd/,
AR-134,todo,T,alma9981403858703126,record,JSON,LD,,,,,ark:/13030/c8rr25fk/,
AR-137,TEST,T,alma990030438180403126,record,JSON,LD,T,,,,ark:/13030/c80007jk/,
AR-138,todo,T,alma9981189836303126,record,JSON,LD,,,,,ark:/13030/c87w6jz3/,
AR-139,todo,T,alma9981401454303126,record,JSON,LD,,,,,ark:/13030/c8pv6sj9/,
AR-140,TEST,T,alma990039359680403126,record,JSON,LD,T,,,,ark:/13030/c8s46xf9/,
AR-141,TEST,T,alma990039727710403126,record,JSON,LD,T,,ark:/13030/c8k64pk8/,,ark:/13030/c8k64pk8/,
AR-142,TEST,T,alma990031089130403126,record,JSON,LD,T,,,,ark:/13030/c8gx4j26/,
AR-143,TEST,T,alma990035913140403126,record,JSON,LD,T,,ark:/13030/c86h4p61/,,ark:/13030/c86h4p61/,
AR-144,TEST,T,alma990031089100403126,record,JSON,LD,T,,,,ark:/13030/c8c53sbs/,
AR-148,todo,T,alma990038796080403126,record,JSON,LD,,,,,ark:/13030/c8wq099k/,
AR-149,TEST,T,alma990032112900403126,record,JSON,LD,T,,ark:/13030/c8gt5sw6/,,ark:/13030/c8gt5sw6/,
AR-150,TEST,T,990005347740403126,record,JSON,LD,T,,,,ark:/13030/c8g1662v/,
AR-151,TEST,T,,,,,T,,ark:/13030/c8sf31vw/,,ark:/13030/c8sf31vw/,
AR-152,TEST,T,alma990021807900403126,record,JSON,LD,T,,,,ark:/13030/c8db8786/,
AR-153,todo,T,alma9981401454103126,record,JSON,LD,,,,,ark:/13030/c8k361vq/,
AR-154,todo,T,alma990007570440403126,record,JSON,LD,,,,,ark:/13030/c83n28wq/,
AR-156,skip,,alma9981401660003126,record,JSON,LD,,,,,ark:/13030/c8fb594d/,
AR-157;384,todo,T,,,,,,,,,ark:/13030/c8v410x4/,
AR-159,todo,T,alma990022154290403126,record,JSON,LD,,,,,ark:/13030/c8zw1sfw/,
AR-161,todo,T,alma990005347750403126,record,JSON,LD,,,,,ark:/13030/c8ft8sjj/,
AR-162,TEST,T,alma990004807680403126,record,JSON,LD,T,,ark:/13030/c8r49shc/,,ark:/13030/c8r49shc/,
AR-163,TEST,T,alma990005347760403126,record,JSON,LD,T,,ark:/13030/c84b32tx/,,ark:/13030/c84b32tx/,
AR-164,todo,T,alma990022108170403126,record,JSON,LD,,,,,ark:/13030/c8sn0ghq/,
AR-166,todo,T,alma9981401659903126,record,JSON,LD,,,,,ark:/13030/c89k4jdp/,
AR-167,todo,T,90036726040403126,record,JSON,LD,,,,,ark:/13030/c8br8zxx/,
AR-169,TEST,T,,,,,T,,ark:/13030/c8cc126m/,,ark:/13030/c8cc126m/,
AR-170,todo,T,alma9981383649203126,record,JSON,LD,,,,,ark:/13030/c8vd75m6/,
AR-171,todo,T,alma990022620540403126,record,JSON,LD,,,,,ark:/13030/c822319d/,
AR-172,todo,T,alma9981403657603126,record,JSON,LD,,,,,ark:/13030/c88w3mh8/,
AR-175,TEST,T,alma990033269450403126,record,JSON,LD,T,,,,ark:/13030/c80v8k7b/,
AR-176,TEST,T,alma990032112880403126,record,JSON,LD,T,,,,ark:/13030/c8v411pd/,
AR-177,todo,T,alma9981115460303126,record,JSON,LD,,,,,ark:/13030/c8x353x5/,
AR-180,TEST,T,alma990035575690403126,record,JSON,LD,T,,ark:/13030/c8pc32w4/,,ark:/13030/c8pc32w4/,
AR-182,todo,T,alma9981403858803126,record,JSON,LD,,,,,ark:/13030/c8n01drm/,
AR-183,TEST,T,alma990039177390403126,record,JSON,LD,T,,,,ark:/13030/c8h41xqh/,
AR-184,TEST,T,alma990038796110403126,record,JSON,LD,T,,ark:/13030/c8959pn7/,,ark:/13030/c8959pn7/,
AR-185,TEST,T,alma990036665950403126,record,JSON,LD,T,,ark:/13030/c8542pz1/,,ark:/13030/c8542pz1/,
AR-186,TEST,T,alma990036798590403126,record,JSON,LD,T,,ark:/13030/c80k2b3m/,,ark:/13030/c80k2b3m/,
AR-187,TEST,T,alma990036798500403126,record,JSON,LD,T,,ark:/13030/c8vt1tmx/,,ark:/13030/c8vt1tmx/,
AR-188,TEST,T,alma990036798370403126,record,JSON,LD,T,,ark:/13030/c8r212ww/,,ark:/13030/c8r212ww/,
AR-189,TEST,T,,,,,T,,ark:/13030/c89c6zzh/,,ark:/13030/c89c6zzh/,
AR-190,TEST,T,alma990036845530403126,record,JSON,LD,T,,ark:/13030/c8vq34c7/,,ark:/13030/c8vq34c7/,
AR-191,TEST,T,alma990037436300403126,record,JSON,LD,T,,ark:/13030/c8571f8t/,,ark:/13030/c8571f8t/,
AR-192,TEST,T,alma9980952352503126,record,JSON,LD,T,,ark:/13030/c8d50sk3/,,ark:/13030/c8d50sk3/,
AR-193,TEST,T,alma9981055659403126,record,JSON,LD,T,,,,ark:/13030/c8cr60jz/,
AR-195,TEST,T,alma990039176540403126,record,JSON,LD,T,,ark:/13030/c8fb57kd/,,ark:/13030/c8fb57kd/,
AR-196,todo,T,alma9981107751703126,record,JSON,LD,,,,,ark:/13030/c8xw4r65/,
AR-197,TEST,T,alma990039645200403126,record,JSON,LD,T,,ark:/13030/c8mk6jbb/,,ark:/13030/c8mk6jbb/,
AR-198,todo,T,alma9981086049603126,record,JSON,LD,,,,,ark:/13030/c8ww7q2s/,
AR-199,TEST,T,alma9981057530203126,record,JSON,LD,T,,ark:/13030/c8pk0n9g/,,ark:/13030/c8pk0n9g/,
AR-200,todo,T,alma9981189729803126,record,JSON,LD,,,,,ark:/13030/c8154pt3/,
AR-201,todo,T,alma990022110220403126,record,JSON,LD,,,,,ark:/13030/c8pv6rwc/,
AR-202,todo,T,alma9981383649103126,record,JSON,LD,,,,,ark:/13030/c8qn6dzc/,
AR-203,skip,,alma990036798610403126,record,JSON,LD,T,,ark:/13030/c8m90b5k/,,ark:/13030/c8m90b5k/,
AR-204,todo,T,alma9981403658303126,record,JSON,LD,,,,,ark:/13030/c8474j26/,
AR-207,TEST,T,alma990036726050403126,record,JSON,LD,T,,ark:/13030/c8f47qns/,,ark:/13030/c8f47qns/,
AR-208,TEST,T,alma9980989149503126,record,JSON,LD,T,,ark:/13030/c8sb4bjx/,,ark:/13030/c8sb4bjx/,
AR-209,todo,T,990021614210403126,record,JSON,LD,,,,,ark:/13030/c8j39038/,
AR-210,todo,T,,,,,,,,,ark:/13030/c8gt5vbv/,
AR-211,todo,T,alma9981391059703126,record,JSON,LD,,,,,ark:/13030/c8c253kc/,
AR-212,todo,T,alma990022690790403126,record,JSON,LD,,,,,ark:/13030/c8cc167q/,
AR-213,skip,,alma9981189549503126,record,JSON,LD,,,,,ark:/13030/c8rv0vgk/,
AR-214;411,todo,T,,,,,,,,,ark:/13030/c8v98g7b/,
AR-215,todo,T,alma9981403658203126,record,JSON,LD,,,,,ark:/13030/c80g3scx/,
AR-216,todo,T,alma9981403658103126,record,JSON,LD,,,,,ark:/13030/c8vt209b/,
AR-218,todo,T,alma990029730180403126,record,JSON,LD,,,,,ark:/13030/c87p94w9/,
AR-219,skip,,alma990030156930403126,record,JSON,LD,,,,,ark:/13030/c83x8d50/,
AR-220,todo,T,alma990004645640403126,record,JSON,LD,,,,,ark:/13030/c8057ng1/,
AR-221,TEST,T,alma9980991648803126,record,JSON,LD,T,,ark:/13030/c8891bpk/,,ark:/13030/c8891bpk/,
AR-222,TEST,T,alma9981064552703126,record,JSON,LD,T,,ark:/13030/c8pn9bv1/,,ark:/13030/c8pn9bv1/,
AR-223,TEST,T,alma9981055458203126,record,JSON,LD,T,,,,ark:/13030/c8k93dqd/,
AR-224,todo,T,alma9981090541703126,record,JSON,LD,,,,,ark:/13030/c8w95gmf/,
AR-225,todo,T,alma9981090444603126,record,JSON,LD,,,,,ark:/13030/c83t9pmg/,
AR-226,todo,T,9981193254003126,record,JSON,LD,,,,,ark:/13030/c85144mn/,
AR-227,skip,,,,,,,,,,ark:/13030/c8sq9651/,
AR-229,todo,T,,,,,,,,,ark:/13030/c8dr32mv/,
D-001,TEST,T,alma990003195950403126,record,JSON,LD,,T,,ark:/13030/c8rf5wrb/,,ark:/13030/c8rf5wrb/
D-002,TEST,T,alma990003165330403126,record,JSON,LD,,T,,ark:/13030/kt209nf2v0/,,ark:/13030/kt209nf2v0/
D-003,TEST,T,alma990023245880403126,record,JSON,LD,,T,,ark:/13030/c8h133rr/,,ark:/13030/c8h133rr/
D-004,TEST,T,alma990003317120403126,record,JSON,LD,,T,,ark:/13030/c82r3tcq/,,ark:/13030/c82r3tcq/
D-005,TEST,T,alma990003317100403126,record,JSON,LD,,T,,ark:/13030/c8z039wq/,,ark:/13030/c8z039wq/
D-006,skip,,alma990006725410403126,record,JSON,LD,,T,,ark:/13030/c8tb18m5/,,ark:/13030/c8tb18m5/
D-006;427,todo,T,,,,,,,,,,ark:/13030/c8tb18m5/
D-008,TEST,T,alma990005412250403126,record,JSON,LD,,T,,ark:/13030/c8pk0hwf/,,ark:/13030/c8pk0hwf/
D-009,todo,T,,,,,,T,,,,
D-010,TEST,T,90023245910403126,record,JSON,LD,,T,,ark:/13030/c8ht2r26/,,ark:/13030/c8ht2r26/
D-011,TEST,T,,,,,,T,,ark:/13030/c83n254m/,,ark:/13030/c83n254m/
D-012,TEST,T,alma990024192620403126,record,JSON,LD,,T,,ark:/13030/kt1f59r6dr/,,ark:/13030/kt1f59r6dr/
D-013,TEST,T,alma990002366780403126,record,JSON,LD,,T,,ark:/13030/c8mg7r7t/,,ark:/13030/c8mg7r7t/
D-014,TEST,T,alma990030016590403126,record,JSON,LD,,T,,ark:/13030/c8zp47vq/,,ark:/13030/c8zp47vq/
D-015,TEST,T,alma990022620710403126,record,JSON,LD,,T,,ark:/13030/kt1x0nc2p3,,ark:/13030/kt1x0nc2p3/
D-016,TEST,T,alma990003008560403126,record,JSON,LD,,T,,ark:/13030/c80g3kst/,,ark:/13030/c80g3kst/
D-017,TEST,T,alma990031302090403126,record,JSON,LD,,T,,ark:/13030/c8tx3h4d/,,ark:/13030/c8tx3h4d/
D-018,TEST,T,alma990002964510403126,record,JSON,LD,,T,,ark:/13030/c80p11r2/,,ark:/13030/c80p11r2/
D-019,skip,,alma990002366790403126,record,JSON,LD,,T,,ark:/13030/c8q81fsv/,,ark:/13030/c8q81fsv/
D-019;182,todo,T,,,,,,,,,,ark:/13030/c8q81fsv/
D-020,TEST,T,alma990002366840403126,record,JSON,LD,,T,,ark:/13030/c8kh0q2j/,,ark:/13030/c8kh0q2j/
D-021,TEST,T,alma990024181150403126,record,JSON,LD,,T,,ark:/13030/c8r78hg8/,,ark:/13030/c8r78hg8/
D-022,TEST,T,alma990003234270403126,record,JSON,LD,,T,,ark:/13030/kt1c6002bw,,ark:/13030/kt1c6002bw/
D-023,TEST,T,alma990029963920403126,record,JSON,LD,,T,,ark:/13030/kt6v19r84r,,ark:/13030/kt6v19r84r/
D-024,TEST,T,alma990005412160403126,record,JSON,LD,,T,,ark:/13030/c8xw4mj0/,,ark:/13030/c8xw4mj0/
D-025,skip,,alma990006725440403126,record,JSON,LD,,T,,ark:/13030/c8t43vtk/,,ark:/13030/c8t43vtk/
D-025;438,todo,T,,,,,,,,,,ark:/13030/c8t43vtk/
D-026,TEST,T,990024188630403126,record,JSON,LD,,T,,ark:/13030/c8pc343n/,,ark:/13030/c8pc343n/
D-027,TEST,T,,,,,,T,,ark:/13030/c8jm2ccx/,,ark:/13030/c8jm2ccx/
D-028,TEST,T,alma990016918000403126,record,JSON,LD,,T,,ark:/13030/c8dz0b1g/,,ark:/13030/c8dz0b1g/
D-029,TEST,T,alma990016917980403126,record,JSON,LD,,T,,ark:/13030/c8571drp/,,ark:/13030/c8571drp/
D-030,TEST,T,alma990023245930403126,record,JSON,LD,,T,,ark:/13030/c81j9ch1/,,ark:/13030/c81j9ch1/
D-031,TEST,T,990027624440403126,record,JSON,LD,,T,,ark:/13030/c8s18488/,,ark:/13030/c8s18488/
D-032,TEST,T,,,,,,T,,ark:/13030/c879432f/,,ark:/13030/c879432f/
D-033,TEST,T,alma990002964560403126,record,JSON,LD,,T,,ark:/13030/kt309nf4mn/,,ark:/13030/kt309nf4mn/
D-034,TEST,T,alma990022045130403126,record,JSON,LD,,T,,ark:/13030/c8n87cjj/,,ark:/13030/c8n87cjj/
D-035,TEST,T,alma990022713580403126,record,JSON,LD,,T,,ark:/13030/kt3h4nc658,,ark:/13030/kt3h4nc658/
D-036,TEST,T,alma990002366800403126,record,JSON,LD,,T,,ark:/13030/c88054cg/,,ark:/13030/c88054cg/
D-037,TEST,T,alma990022889120403126,record,JSON,LD,,T,,ark:/13030/kt7z09r3rm,,ark:/13030/kt7z09r3rm/
D-038,TEST,T,alma990036987820403126,record,JSON,LD,,T,,ark:/13030/c80k2b99/,,ark:/13030/c80k2b99/
D-039,TEST,T,alma990023260790403126,record,JSON,LD,,T,,ark:/13030/c8vt1tv2/,,ark:/13030/c8vt1tv2/
D-040,TEST,T,alma990036992830403126,record,JSON,LD,,T,,ark:/13030/c8r2134f/,,ark:/13030/c8r2134f/
D-041,TEST,T,alma990002964570403126,record,JSON,LD,,T,,,,ark:/13030/c8m90bdq/
D-042,TEST,T,alma990036992880403126,record,JSON,LD,,T,,ark:/13030/c8pz5bjk/,,ark:/13030/c8pz5bjk/
D-043,TEST,T,alma990016917990403126,record,JSON,LD,,T,,ark:/13030/kt1q2nd61b,,ark:/13030/kt1q2nd61b/
D-044,TEST,T,990023285560403126,record,JSON,LD,,T,,ark:/13030/kt4870205h,,ark:/13030/kt4870205h/
D-045,TEST,T,,,,,,T,,ark:/13030/kt1870356z/,,ark:/13030/kt1870356z/
D-046,TEST,T,alma990005114840403126,record,JSON,LD,,T,,ark:/13030/c8k64kt5/,,ark:/13030/c8k64kt5/
D-047,TEST,T,alma990031355460403126,record,JSON,LD,,T,,ark:/13030/c8ff3v3v/,,ark:/13030/c8ff3v3v/
D-048,TEST,T,alma990005412170403126,record,JSON,LD,,T,,ark:/13030/c89p33ch/,,ark:/13030/c89p33ch/
D-049,skip,,alma990024192590403126,record,JSON,LD,,T,,ark:/13030/c85x2bns/,,ark:/13030/c85x2bns/
D-049;186,todo,T,,,,,,,,,,ark:/13030/c85x2bns/
D-050,TEST,T,alma990002366820403126,record,JSON,LD,,T,,ark:/13030/tf1489n5dm,,ark:/13030/tf1489n5dm/
D-051,TEST,T,alma990022731630403126,record,JSON,LD,,T,,ark:/13030/tf6w100646/,,ark:/13030/tf6w100646/
D-052,TEST,T,alma990017350560403126,record,JSON,LD,,T,,ark:/13030/c80c4z1v/,,ark:/13030/c80c4z1v/
D-053,TEST,T,alma990022620220403126,record,JSON,LD,,T,,ark:/13030/kt10002563,,ark:/13030/kt10002563/
D-054,todo,T,alma9981114059303126,record,JSON,LD,,,,,,ark:/13030/c83x8d2n/
D-055,TEST,T,alma990022681020403126,record,JSON,LD,,T,,ark:/13030/tf8t1nb3vw,,ark:/13030/tf8t1nb3vw/
D-056,TEST,T,alma990024182960403126,record,JSON,LD,,T,,ark:/13030/kt8t1nd615,,ark:/13030/kt8t1nd615/
D-057,TEST,T,alma990030016440403126,record,JSON,LD,,T,,ark:/13030/c8668g8v/,,ark:/13030/c8668g8v/
D-058,TEST,T,alma990031302340403126,record,JSON,LD,,T,,ark:/13030/c8c82c1f/,,ark:/13030/c8c82c1f/
D-059,TEST,T,alma990002964610403126,record,JSON,LD,,T,,ark:/13030/c87h1m9q/,,ark:/13030/c87h1m9q/
D-060,TEST,T,alma990006810730403126,record,JSON,LD,,T,,ark:/13030/c8xd13fg/,,ark:/13030/c8xd13fg/
D-061,TEST,T,alma990005114860403126,record,JSON,LD,,T,,ark:/13030/tf9290075w,,ark:/13030/tf9290075w/
D-062,TEST,T,alma990003195620403126,record,JSON,LD,,T,,ark:/13030/kt7h4nf5x9/,,ark:/13030/kt7h4nf5x9/
D-063,TEST,T,alma990002519230403126,record,JSON,LD,,T,,ark:/13030/kt029034p3/,,ark:/13030/kt029034p3/
D-064,TEST,T,alma990023213880403126,record,JSON,LD,,T,,ark:/13030/kt987023hp,,ark:/13030/kt987023hp/
D-065,TEST,T,alma990022682030403126,record,JSON,LD,,T,,ark:/13030/tf1p3002f2,,ark:/13030/tf1p3002f2/
D-066,TEST,T,alma990002366770403126,record,JSON,LD,,T,,ark:/13030/kt5w1036c6/,,ark:/13030/kt5w1036c6/
D-067,TEST,T,alma990030016450403126,record,JSON,LD,,T,,ark:/13030/c83r0vk0/,,ark:/13030/c83r0vk0/
D-068,TEST,T,alma990031302390403126,record,JSON,LD,,T,,ark:/13030/c89z96zd/,,ark:/13030/c89z96zd/
