,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
259,ark:/13030/c8b56mx5/,English,,Leon David Adams Papers,,D-304,,,,"Reports and brochures from the Wine Advisory Board and Wine Institute, files for The wines of America, correspondence and clippings, wine cookbooks and ephemera.",,1940-1975,"Adams, Leon David, 1905-",22.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,ark:/13030/c8b56mzm/,English,"University of California, Davis Library, Dept. of Special Collections",Dale F. Lott Papers,"Lott, Dale F.",D-407,13 linear feet,1960-2004,,"Professor Dale Lott&#39;s files, research papers and slides that focus on the American West, American bison, quail, and other western fauna, as well as the grasslands that support wildlife.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,ark:/13030/c8b56p4p/,English,"University of California, Davis Library, Dept. of Special Collections",Trafton-Crane Family Photographs,Trafton family,D-592,1 panoramic photograph sepia 10 x 23 cm mounted,1875-1947,,"This collection of photographs documents the early California life of members of the the Trafton and Crane families. The collection includes one letter from Alice E. Crane to her sister Emma Crane Trafton of Davisville, California as well as photographs portraying farm life and members of the Trafton and Crane families.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,ark:/13030/c8b56rms/,English,,Deloris Matheny Collection,,MC161,,,,"Photograph of men in machine shop, possibly on campus.",,undated,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,ark:/13030/c8b85g2z/,English,,Walter H Gardner Collection,,MC213,,,,Printed material and photographs of Caterpillar tractors and Yuba dredges.,,1916-1945,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,ark:/13030/c8bc40rs/,Collection materials in English.,,Clinton N. Howard Papers,"Howard, Clinton Newton, 1902-",MC261,11 letters,1939-1950,,"Clinton Newton Howard (1902-1973) served as Professor of History at the University of California, Los Angeles (UCLA). This small collection contains correspondence related to Eric A. Beecroft (1903-2001) and his position as a Professor of Political Science at UCLA. Also included are several files related to the University of California loyalty oath in 1949-1950.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,ark:/13030/c8bc41gm/,English,,Viticulture and Enology Newsletter Collection,,D-129,,,,Magazines and newsletters related to wine and wine making.,,1940-1996,null,3.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,ark:/13030/c8bc41r6/,English,"University of California, Davis Library, Dept. of Special Collections",Chicano Record Collection,"University of California, Davis. Library. Department of Special Collections",D-419,8.4 linear feet,1961-1990,,"Long-playing records which feature Chicano music. Artists include Lola Beltran, Yolanda Del Rio, Pedro Infante, Flaco Jimenez, Luis Perez Meza, Augustine Ramirez, and Silvestre Vargas, among others.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,ark:/13030/c8bc445t/,English,"University of California, Davis General Library, Dept. of Special Collections",Medieval Association of the Pacific Records,Medieval Association of the Pacific,D-604,0.5 linear feet,1966-2016,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,ark:/13030/c8bg2r7f/,English,,Warren A. Westgate Photograph Collection,,D-167,,,,"Exhibit copy prints of the buildings, businesses, and people of Yolo County, California.",,1890-1920,"Westgate, Warren A.",7 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
