,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
729,ark:/13030/c8w09d39/,English,"University of California, Davis Library, University Archives",Office of the Provost Records,"University of California, Davis. Office of the Provost and Executive Vice Chancellor",AR-005,2 linear feet,1954-1988,,"Accreditation reports, program reviews, academic planning documents, and materials related to instructional unit name changes.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,ark:/13030/c8w95gmf/,English,"University of California, Davis Library, University Archives",Department of Medical Illustration Photographs of UC Davis,"University of California, Davis. Department of Medical Illustration",AR-224,9.6 linear feet,1948-2016,,"The collection includes Department of Medical Illustration slides, negatives, prints, and contact sheets for and of various UC Davis departments, especially the UC Davis Health facilities, programs, and events.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,ark:/13030/c8wd43z1/,English,"University of California, Davis Library, Dept. of Special Collections",John M. Tucker Papers,"Tucker, John M.",D-489;716,15 linear feet,1934-2008,,"Correspondence, research materials, syllabi, and reprints relating to John M. Tucker&#39;s career as Professor of Botany.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,ark:/13030/c8wd46s1/,English,"University of California, Davis Library, University Archives",Department of English Records,"University of California, Davis. Department of English",AR-076,1 linear foot,,,"Small set of files on faculty members Robert Wiggins, Celeste Turner Wright, and Karl Shapiro. Includes a poster for the Snyder/Soderquist Distinguished Visiting Writers lecture series.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,"2003, undated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,ark:/13030/c8wh2x4g/,English,"University of California, Davis Library, University Archives",UC Davis Memorabilia Collection,"University of California, Davis. Library",AR-117,9.6 linear feet,1941-2008,,Items related to UC Davis staff and student life and commemorating UC Davis events.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,ark:/13030/c8wq099k/,English,"University of California, Davis Library, University Archives","University of California, Davis. Office of Environmental Stewardship and Sustainability Records","University of California, Davis. Environmental Stewardship and Sustainability",AR-148,0.5 linear feet,2012-2014,,"Materials related to the 2012 California Higher Education Sustainability Conference held at UC Davis, sustainablity awards received by the campus as well as plans and brochures created by the office.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,ark:/13030/c8ww7q2s/,English,"University of California, Davis Library, University Archives",Academic Technology Services Photographs and Video Recordings,"University of California, Davis. Academic Technology Services",AR-198,22 linear feet,1969-2008,,"Academic Technology Services (ATS) is a unit of Information and Educational Technology. The collection includes negatives, contact sheets, color slides, and prints created in the course of UC Davis activities by Illustration Services, which is now incorporated into Academic Technology Services. The collection also includes a small number of video recordings created by Academic Technology Services.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,ark:/13030/c8x06cpp/,English,"University of California, Davis General Library, Dept. of Special Collections",James L. Sochor Collection,"University of California, Davis. Library. Dept. of Special Collections",MC278,0.1 linear feet,2016,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,ark:/13030/c8x353x5/,English,"University of California, Davis General Library, University Archives",Campus Photographs from Alumni,"University of California, Davis. Library. Department of Special Collections",AR-177,4 photographic prints,,,Photographs of the Davis campus and Davis alumni events donated by UC Davis alumni.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,ark:/13030/c8x353zm/,English,"University of California, Davis Library, University Archives","University of California, Davis Chicana/Latina Research Center Records",Chicana/Latina Research Center,AR-128,22 linear feet,1975-2011,,"Submissions for Voces: a journal of Chicana/Latina studies, materials related to Mujeres Activas en Letras y Cambio Social (MALCS) conferences and institutes.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,ark:/13030/c8xd17zv/,English,"University of California, Davis Library, Dept. of Special Collections",Kevin P. Roddy Papers,"Roddy, Kevin P., 1943-",D-526;739,6.4 linear feet,circa 1970-2010,,Materials from Roddy&#39;s research related to computers and the humanities and the revival of medieval drama in Britain.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,ark:/13030/c8xw4r65/,English,"University of California, Davis Library, University Archives",Campus Planning and Environmental Stewardship Records,"University of California, Davis. Campus Planning and Environmental Stewardship",AR-196,3 linear feet,1950s-2000s,,The collection includes glass plate and print aerial photographs of campus and Yolo County as well as large format aerial and blueprint documents.,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,ark:/13030/c8z60vjs/,English,"University of California, Davis Library, University Archives","University of California, Davis Commencement Collection","University of California, Davis",AR-098,5 linear feet,1911-1982,,"Commencement programs, invitations, cue books, and ephemera.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,ark:/13030/c8z89jx3/,English,"University of California, Davis Library, University Archives","University of California, Davis Accreditation Reports","University of California, Davis",AR-115,0.4 linear feet,1956-1991,,Accreditation reports for selected programs and for the campus as a whole.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,ark:/13030/c8zp4ddz/,English,"University of California, Davis Library, Dept. of Special Collections",Earn Hong Photograph Albums,"Hong, Earn",D-703,0.4 linear feet,1919-1922,,Photographic record of Korean American activist Earn Hong&#39;s travels in the United States and Peru between 1919 and 1922.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,ark:/13030/c8zw1sfw/,English,"University of California, Davis Library, University Archives","University of California, Davis Arboretum Records","University of California, Davis. Arboretum",AR-159,13.8 linear feet,1935-2005,,"Plant files, accession records, operational records, and campus landscape history.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,ark:/13030/kt5h4nf5dx/,Collection materials in English.,"University of California, Davis Library, University Archives",University Archives Photographs,"Cockrell, Sue",AR-013,1 print,1907-1987,,"The University Archives Photographs offer a visual record of the history of the University of California, Davis. The collection contains photographic prints and negatives, and depicts buildings and grounds, faculty and staff, annual events such as Picnic Day, campus events, classes and classrooms, student clubs and activities, departments, and sporting events.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,ark:/13030/tf309nb0bw/,,,THE AFRICAN AMERICAN HISTORY COLLECTION,,D-207,,null,,,,,,7 linear feet in 7 archive boxes,,,,,,,English.,,,,null,"For current information on the location of these materials, please consult the Special Collections Department.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
