,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
591,ark:/13030/c8q52w25/,English,,Montana Territorial Warrant,,MC287,,,,Check written by the Territory of Montana for bear and mountain lion bounty.,,1887,Montana Territory. Territorial Treasurer.,1 item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,ark:/13030/c8q81fsv/,English,"University of California, Davis Library, Dept. of Special Collections",Thomas E. Weier Papers,"Weier, T. Elliot (Thomas Elliot) (1903-1991)",D-019;182,1 film 8 mm,1929-1991,,"Photo albums, diaries, research notes and lab notebooks corresponding to Weier&#39;s frequent and extensive collecting trips, including field trips with his botany classes.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,ark:/13030/c8q81kjc/,English,"University of California, Davis Library, University Archives","University of California, Davis Library Associates Records","Library Associates of the University Library, Davis",AR-020,43.6 linear feet,1966-1999,,"Office files, meeting minutes, bylaws, annual reports, financial reports, keepsakes, publications, realia, travel programs.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,ark:/13030/c8qn6d8d/,English,"University of California, Davis Library, University Archives","University of California, Davis General Catalogs","University of California, Davis. Registrar",AR-090,3 linear feet,1958-2010,,Course catalogs and general information for undergraduate and graduate programs at UC Davis.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,ark:/13030/c8qn6dzc/,English,"University of California, Davis Library, University Archives",Library Access Services Records,"University of California, Davis. Library",AR-202,5 linear feet,1987-2004,,"Meeting minutes, Library Suggestion Box replies, and a small amount of correspondence.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,ark:/13030/c8qv3tcn/,English,"University of California, Davis Library, University Archives",Whole Earth Festival Collection,"University of California, Davis. Library",AR-118,3 linear feet,1972-1999,,"Posters, videos, films, sound recordings, and slides related to UC Davis&#39;s Whole Earth Festival.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,ark:/13030/c8qz2d7j/,English,,Richard E. Kepner Papers,,D-500,,,,Reprints of articles on organic chemistry.,,1941-1969,"Kepner, Richard E.,1916-2001.",1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,ark:/13030/c8qz2j4v/,English,"University of California, Davis Library, University Archives",Office of the University Librarian Records,"University of California, Davis. Library",AR-039,5 linear feet,1923-1984,,"Budgets, reports, correspondence, and information related to library buildings and maintenance.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,ark:/13030/c8rb7bpj/,English,"University of California, Davis Library, Dept. of Special Collections",Pioneering Punjabis Digital Archive,"Ranganath, Nicole, Dr.",D-643,1319 digital objects,1900-2019,,"The Pioneering Punjabi Digital Archive is the most extensive collection of archival material documenting the first significant South Asian community in the United States. The collection includes over 1,300 photographs, rare archival films, letters, newspaper articles, songs, and audio interviews of South Asians who arrived in California from the Punjab region of north India beginning in the 1890s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,ark:/13030/c8rb7brf/,English,"University of California, Davis Library, University Archives",Office of the Vice-Chancellor of Business and Finance Records,"University of California, Davis. Office of the Vice-Chancellor--Business and Finance",AR-007,2 linear feet,1906-1990,,"Materials related to UC Davis land acquisitions, water and mineral rights, right-of-way, and campus buildings.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
